"bezirk","freq","date"
"Feldkirchen",9,2020-04-05 06:00:00
"Freistadt",98,2020-04-05 06:00:00
"Gänserndorf",58,2020-04-05 06:00:00
"Gmünd",6,2020-04-05 06:00:00
"Gmunden",59,2020-04-05 06:00:00
"Graz(Stadt)",343,2020-04-05 06:00:00
"Graz-Umgebung",120,2020-04-05 06:00:00
"Grieskirchen",60,2020-04-05 06:00:00
"Gröbming",29,2020-04-05 06:00:00
"Güssing",18,2020-04-05 06:00:00
"Hallein",59,2020-04-05 06:00:00
"Hartberg-Fürstenfeld",246,2020-04-05 06:00:00
"Hollabrunn",17,2020-04-05 06:00:00
"Horn",23,2020-04-05 06:00:00
"Imst",224,2020-04-05 06:00:00
"Innsbruck-Land",328,2020-04-05 06:00:00
"Innsbruck-Stadt",338,2020-04-05 06:00:00
"Jennersdorf",8,2020-04-05 06:00:00
"Kirchdorf an der Krems",36,2020-04-05 06:00:00
"Kitzbühel",294,2020-04-05 06:00:00
"Klagenfurt Land",36,2020-04-05 06:00:00
"Klagenfurt Stadt",60,2020-04-05 06:00:00
"Korneuburg",124,2020-04-05 06:00:00
"Krems an der Donau(Stadt)",28,2020-04-05 06:00:00
"Krems(Land)",115,2020-04-05 06:00:00
"Kufstein",372,2020-04-05 06:00:00
"Landeck",702,2020-04-05 06:00:00
"Leibnitz",158,2020-04-05 06:00:00
"Leoben",23,2020-04-05 06:00:00
"Lienz",108,2020-04-05 06:00:00
"Liezen",39,2020-04-05 06:00:00
"Lilienfeld",36,2020-04-05 06:00:00
"Linz(Stadt)",264,2020-04-05 06:00:00
"Linz-Land",182,2020-04-05 06:00:00
"Mattersburg",31,2020-04-05 06:00:00
"Melk",114,2020-04-05 06:00:00
"Mistelbach",94,2020-04-05 06:00:00
"Mödling",122,2020-04-05 06:00:00
"Murau",5,2020-04-05 06:00:00
"Murtal",31,2020-04-05 06:00:00
"Neunkirchen",146,2020-04-05 06:00:00
"Neusiedl am See",49,2020-04-05 06:00:00
"Oberpullendorf",16,2020-04-05 06:00:00
"Oberwart",73,2020-04-05 06:00:00
"Perg",237,2020-04-05 06:00:00
"Reutte",47,2020-04-05 06:00:00
"Ried im Innkreis",28,2020-04-05 06:00:00
"Rohrbach",124,2020-04-05 06:00:00
"Salzburg(Stadt)",126,2020-04-05 06:00:00
"Salzburg-Umgebung",168,2020-04-05 06:00:00
"Sankt Johann im Pongau",385,2020-04-05 06:00:00
"Sankt Pölten(Land)",208,2020-04-05 06:00:00
"Sankt Pölten(Stadt)",59,2020-04-05 06:00:00
"Sankt Veit an der Glan",39,2020-04-05 06:00:00
"Schärding",48,2020-04-05 06:00:00
"Scheibbs",94,2020-04-05 06:00:00
"Schwaz",277,2020-04-05 06:00:00
"Spittal an der Drau",31,2020-04-05 06:00:00
"Steyr(Stadt)",39,2020-04-05 06:00:00
"Steyr-Land",129,2020-04-05 06:00:00
"Südoststeiermark",40,2020-04-05 06:00:00
"Tamsweg",18,2020-04-05 06:00:00
"Tulln",124,2020-04-05 06:00:00
"Urfahr-Umgebung",259,2020-04-05 06:00:00
"Villach Land",41,2020-04-05 06:00:00
"Villach Stadt",15,2020-04-05 06:00:00
"Vöcklabruck",99,2020-04-05 06:00:00
"Voitsberg",79,2020-04-05 06:00:00
"Völkermarkt",46,2020-04-05 06:00:00
"Waidhofen an der Thaya",14,2020-04-05 06:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-05 06:00:00
"Weiz",99,2020-04-05 06:00:00
"Wels(Stadt)",56,2020-04-05 06:00:00
"Wels-Land",72,2020-04-05 06:00:00
"Wien(Stadt)",1688,2020-04-05 06:00:00
"Wiener Neustadt(Land)",35,2020-04-05 06:00:00
"Wiener Neustadt(Stadt)",28,2020-04-05 06:00:00
"Wolfsberg",33,2020-04-05 06:00:00
"Zell am See",312,2020-04-05 06:00:00
"Zwettl",32,2020-04-05 06:00:00
"Amstetten",210,2020-04-05 07:00:00
"Baden",96,2020-04-05 07:00:00
"Bludenz",212,2020-04-05 07:00:00
"Braunau am Inn",88,2020-04-05 07:00:00
"Bregenz",199,2020-04-05 07:00:00
"Bruck an der Leitha",58,2020-04-05 07:00:00
"Bruck-Mürzzuschlag",43,2020-04-05 07:00:00
"Deutschlandsberg",30,2020-04-05 07:00:00
"Dornbirn",122,2020-04-05 07:00:00
"Eferding",38,2020-04-05 07:00:00
"Eisenstadt(Stadt)",12,2020-04-05 07:00:00
"Eisenstadt-Umgebung",17,2020-04-05 07:00:00
"Feldkirch",189,2020-04-05 07:00:00
"Feldkirchen",9,2020-04-05 07:00:00
"Freistadt",98,2020-04-05 07:00:00
"Gänserndorf",58,2020-04-05 07:00:00
"Gmünd",6,2020-04-05 07:00:00
"Gmunden",59,2020-04-05 07:00:00
"Graz(Stadt)",343,2020-04-05 07:00:00
"Graz-Umgebung",120,2020-04-05 07:00:00
"Grieskirchen",60,2020-04-05 07:00:00
"Gröbming",29,2020-04-05 07:00:00
"Güssing",18,2020-04-05 07:00:00
"Hallein",59,2020-04-05 07:00:00
"Hartberg-Fürstenfeld",246,2020-04-05 07:00:00
"Hollabrunn",17,2020-04-05 07:00:00
"Horn",23,2020-04-05 07:00:00
"Imst",224,2020-04-05 07:00:00
"Innsbruck-Land",328,2020-04-05 07:00:00
"Innsbruck-Stadt",338,2020-04-05 07:00:00
"Jennersdorf",8,2020-04-05 07:00:00
"Kirchdorf an der Krems",36,2020-04-05 07:00:00
"Kitzbühel",294,2020-04-05 07:00:00
"Klagenfurt Land",36,2020-04-05 07:00:00
"Klagenfurt Stadt",60,2020-04-05 07:00:00
"Korneuburg",124,2020-04-05 07:00:00
"Krems an der Donau(Stadt)",28,2020-04-05 07:00:00
"Krems(Land)",115,2020-04-05 07:00:00
"Kufstein",372,2020-04-05 07:00:00
"Landeck",702,2020-04-05 07:00:00
"Leibnitz",158,2020-04-05 07:00:00
"Leoben",23,2020-04-05 07:00:00
"Lienz",108,2020-04-05 07:00:00
"Liezen",39,2020-04-05 07:00:00
"Lilienfeld",36,2020-04-05 07:00:00
"Linz(Stadt)",264,2020-04-05 07:00:00
"Linz-Land",182,2020-04-05 07:00:00
"Mattersburg",31,2020-04-05 07:00:00
"Melk",114,2020-04-05 07:00:00
"Mistelbach",94,2020-04-05 07:00:00
"Mödling",122,2020-04-05 07:00:00
"Murau",5,2020-04-05 07:00:00
"Murtal",31,2020-04-05 07:00:00
"Neunkirchen",146,2020-04-05 07:00:00
"Neusiedl am See",49,2020-04-05 07:00:00
"Oberpullendorf",16,2020-04-05 07:00:00
"Oberwart",73,2020-04-05 07:00:00
"Perg",237,2020-04-05 07:00:00
"Reutte",47,2020-04-05 07:00:00
"Ried im Innkreis",28,2020-04-05 07:00:00
"Rohrbach",124,2020-04-05 07:00:00
"Salzburg(Stadt)",126,2020-04-05 07:00:00
"Salzburg-Umgebung",168,2020-04-05 07:00:00
"Sankt Johann im Pongau",385,2020-04-05 07:00:00
"Sankt Pölten(Land)",208,2020-04-05 07:00:00
"Sankt Pölten(Stadt)",59,2020-04-05 07:00:00
"Sankt Veit an der Glan",39,2020-04-05 07:00:00
"Schärding",48,2020-04-05 07:00:00
"Scheibbs",94,2020-04-05 07:00:00
"Schwaz",277,2020-04-05 07:00:00
"Spittal an der Drau",31,2020-04-05 07:00:00
"Steyr(Stadt)",39,2020-04-05 07:00:00
"Steyr-Land",129,2020-04-05 07:00:00
"Südoststeiermark",40,2020-04-05 07:00:00
"Tamsweg",18,2020-04-05 07:00:00
"Tulln",124,2020-04-05 07:00:00
"Urfahr-Umgebung",259,2020-04-05 07:00:00
"Villach Land",41,2020-04-05 07:00:00
"Villach Stadt",15,2020-04-05 07:00:00
"Vöcklabruck",99,2020-04-05 07:00:00
"Voitsberg",79,2020-04-05 07:00:00
"Völkermarkt",46,2020-04-05 07:00:00
"Waidhofen an der Thaya",14,2020-04-05 07:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-05 07:00:00
"Weiz",99,2020-04-05 07:00:00
"Wels(Stadt)",56,2020-04-05 07:00:00
"Wels-Land",72,2020-04-05 07:00:00
"Wien(Stadt)",1688,2020-04-05 07:00:00
"Wiener Neustadt(Land)",35,2020-04-05 07:00:00
"Wiener Neustadt(Stadt)",28,2020-04-05 07:00:00
"Wolfsberg",33,2020-04-05 07:00:00
"Zell am See",312,2020-04-05 07:00:00
"Zwettl",32,2020-04-05 07:00:00
