"bezirk","freq","date"
"Dornbirn",126,2020-04-08 06:00:00
"Eferding",41,2020-04-08 06:00:00
"Eisenstadt(Stadt)",13,2020-04-08 06:00:00
"Eisenstadt-Umgebung",20,2020-04-08 06:00:00
"Feldkirch",197,2020-04-08 06:00:00
"Feldkirchen",10,2020-04-08 06:00:00
"Freistadt",100,2020-04-08 06:00:00
"Gänserndorf",67,2020-04-08 06:00:00
"Gmünd",6,2020-04-08 06:00:00
"Gmunden",60,2020-04-08 06:00:00
"Graz(Stadt)",374,2020-04-08 06:00:00
"Graz-Umgebung",135,2020-04-08 06:00:00
"Grieskirchen",64,2020-04-08 06:00:00
"Gröbming",37,2020-04-08 06:00:00
"Güssing",20,2020-04-08 06:00:00
"Hallein",60,2020-04-08 06:00:00
"Hartberg-Fürstenfeld",268,2020-04-08 06:00:00
"Hermagor",1,2020-04-08 06:00:00
"Hollabrunn",22,2020-04-08 06:00:00
"Horn",27,2020-04-08 06:00:00
"Imst",233,2020-04-08 06:00:00
"Innsbruck-Land",351,2020-04-08 06:00:00
"Innsbruck-Stadt",356,2020-04-08 06:00:00
"Jennersdorf",8,2020-04-08 06:00:00
"Kirchdorf an der Krems",36,2020-04-08 06:00:00
"Kitzbühel",311,2020-04-08 06:00:00
"Klagenfurt Land",37,2020-04-08 06:00:00
"Klagenfurt Stadt",68,2020-04-08 06:00:00
"Korneuburg",137,2020-04-08 06:00:00
"Krems an der Donau(Stadt)",33,2020-04-08 06:00:00
"Krems(Land)",124,2020-04-08 06:00:00
"Kufstein",423,2020-04-08 06:00:00
"Landeck",706,2020-04-08 06:00:00
"Leibnitz",162,2020-04-08 06:00:00
"Leoben",23,2020-04-08 06:00:00
"Lienz",125,2020-04-08 06:00:00
"Liezen",37,2020-04-08 06:00:00
"Lilienfeld",38,2020-04-08 06:00:00
"Linz(Stadt)",281,2020-04-08 06:00:00
"Linz-Land",188,2020-04-08 06:00:00
"Mattersburg",33,2020-04-08 06:00:00
"Melk",129,2020-04-08 06:00:00
"Mistelbach",105,2020-04-08 06:00:00
"Mödling",139,2020-04-08 06:00:00
"Murau",5,2020-04-08 06:00:00
"Murtal",31,2020-04-08 06:00:00
"Neunkirchen",165,2020-04-08 06:00:00
"Neusiedl am See",49,2020-04-08 06:00:00
"Oberpullendorf",16,2020-04-08 06:00:00
"Oberwart",76,2020-04-08 06:00:00
"Perg",242,2020-04-08 06:00:00
"Reutte",49,2020-04-08 06:00:00
"Ried im Innkreis",32,2020-04-08 06:00:00
"Rohrbach",133,2020-04-08 06:00:00
"Salzburg(Stadt)",133,2020-04-08 06:00:00
"Salzburg-Umgebung",172,2020-04-08 06:00:00
"Sankt Johann im Pongau",406,2020-04-08 06:00:00
"Sankt Pölten(Land)",229,2020-04-08 06:00:00
"Sankt Pölten(Stadt)",70,2020-04-08 06:00:00
"Sankt Veit an der Glan",44,2020-04-08 06:00:00
"Schärding",49,2020-04-08 06:00:00
"Scheibbs",98,2020-04-08 06:00:00
"Schwaz",303,2020-04-08 06:00:00
"Spittal an der Drau",34,2020-04-08 06:00:00
"Steyr(Stadt)",42,2020-04-08 06:00:00
"Steyr-Land",143,2020-04-08 06:00:00
"Südoststeiermark",43,2020-04-08 06:00:00
"Tamsweg",21,2020-04-08 06:00:00
"Tulln",127,2020-04-08 06:00:00
"Urfahr-Umgebung",269,2020-04-08 06:00:00
"Villach Land",44,2020-04-08 06:00:00
"Villach Stadt",19,2020-04-08 06:00:00
"Vöcklabruck",103,2020-04-08 06:00:00
"Voitsberg",87,2020-04-08 06:00:00
"Völkermarkt",48,2020-04-08 06:00:00
"Waidhofen an der Thaya",15,2020-04-08 06:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-08 06:00:00
"Weiz",113,2020-04-08 06:00:00
"Wels(Stadt)",57,2020-04-08 06:00:00
"Wels-Land",74,2020-04-08 06:00:00
"Wien(Stadt)",1820,2020-04-08 06:00:00
"Wiener Neustadt(Land)",42,2020-04-08 06:00:00
"Wiener Neustadt(Stadt)",35,2020-04-08 06:00:00
"Wolfsberg",36,2020-04-08 06:00:00
"Zell am See",328,2020-04-08 06:00:00
"Zwettl",37,2020-04-08 06:00:00
"Amstetten",233,2020-04-08 07:00:00
"Baden",113,2020-04-08 07:00:00
"Bludenz",232,2020-04-08 07:00:00
"Braunau am Inn",94,2020-04-08 07:00:00
"Bregenz",229,2020-04-08 07:00:00
"Bruck an der Leitha",66,2020-04-08 07:00:00
"Bruck-Mürzzuschlag",45,2020-04-08 07:00:00
"Deutschlandsberg",36,2020-04-08 07:00:00
"Dornbirn",126,2020-04-08 07:00:00
"Eferding",41,2020-04-08 07:00:00
"Eisenstadt(Stadt)",13,2020-04-08 07:00:00
"Eisenstadt-Umgebung",20,2020-04-08 07:00:00
"Feldkirch",197,2020-04-08 07:00:00
"Feldkirchen",10,2020-04-08 07:00:00
"Freistadt",100,2020-04-08 07:00:00
"Gänserndorf",67,2020-04-08 07:00:00
"Gmünd",6,2020-04-08 07:00:00
"Gmunden",60,2020-04-08 07:00:00
"Graz(Stadt)",374,2020-04-08 07:00:00
"Graz-Umgebung",135,2020-04-08 07:00:00
"Grieskirchen",64,2020-04-08 07:00:00
"Gröbming",37,2020-04-08 07:00:00
"Güssing",20,2020-04-08 07:00:00
"Hallein",60,2020-04-08 07:00:00
"Hartberg-Fürstenfeld",268,2020-04-08 07:00:00
"Hermagor",1,2020-04-08 07:00:00
"Hollabrunn",22,2020-04-08 07:00:00
"Horn",27,2020-04-08 07:00:00
"Imst",233,2020-04-08 07:00:00
"Innsbruck-Land",351,2020-04-08 07:00:00
"Innsbruck-Stadt",356,2020-04-08 07:00:00
"Jennersdorf",8,2020-04-08 07:00:00
"Kirchdorf an der Krems",36,2020-04-08 07:00:00
"Kitzbühel",311,2020-04-08 07:00:00
"Klagenfurt Land",37,2020-04-08 07:00:00
"Klagenfurt Stadt",68,2020-04-08 07:00:00
"Korneuburg",137,2020-04-08 07:00:00
"Krems an der Donau(Stadt)",33,2020-04-08 07:00:00
"Krems(Land)",124,2020-04-08 07:00:00
"Kufstein",423,2020-04-08 07:00:00
"Landeck",706,2020-04-08 07:00:00
"Leibnitz",162,2020-04-08 07:00:00
"Leoben",23,2020-04-08 07:00:00
"Lienz",125,2020-04-08 07:00:00
"Liezen",37,2020-04-08 07:00:00
"Lilienfeld",38,2020-04-08 07:00:00
"Linz(Stadt)",281,2020-04-08 07:00:00
"Linz-Land",188,2020-04-08 07:00:00
"Mattersburg",33,2020-04-08 07:00:00
"Melk",129,2020-04-08 07:00:00
"Mistelbach",105,2020-04-08 07:00:00
"Mödling",139,2020-04-08 07:00:00
"Murau",5,2020-04-08 07:00:00
"Murtal",31,2020-04-08 07:00:00
"Neunkirchen",165,2020-04-08 07:00:00
"Neusiedl am See",49,2020-04-08 07:00:00
"Oberpullendorf",16,2020-04-08 07:00:00
"Oberwart",76,2020-04-08 07:00:00
"Perg",242,2020-04-08 07:00:00
"Reutte",49,2020-04-08 07:00:00
"Ried im Innkreis",32,2020-04-08 07:00:00
"Rohrbach",133,2020-04-08 07:00:00
"Salzburg(Stadt)",133,2020-04-08 07:00:00
"Salzburg-Umgebung",172,2020-04-08 07:00:00
"Sankt Johann im Pongau",406,2020-04-08 07:00:00
"Sankt Pölten(Land)",229,2020-04-08 07:00:00
"Sankt Pölten(Stadt)",70,2020-04-08 07:00:00
"Sankt Veit an der Glan",44,2020-04-08 07:00:00
"Schärding",49,2020-04-08 07:00:00
"Scheibbs",98,2020-04-08 07:00:00
"Schwaz",303,2020-04-08 07:00:00
"Spittal an der Drau",34,2020-04-08 07:00:00
"Steyr(Stadt)",42,2020-04-08 07:00:00
"Steyr-Land",143,2020-04-08 07:00:00
"Südoststeiermark",43,2020-04-08 07:00:00
"Tamsweg",21,2020-04-08 07:00:00
"Tulln",127,2020-04-08 07:00:00
"Urfahr-Umgebung",269,2020-04-08 07:00:00
"Villach Land",44,2020-04-08 07:00:00
"Villach Stadt",19,2020-04-08 07:00:00
"Vöcklabruck",103,2020-04-08 07:00:00
"Voitsberg",87,2020-04-08 07:00:00
"Völkermarkt",48,2020-04-08 07:00:00
"Waidhofen an der Thaya",15,2020-04-08 07:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-08 07:00:00
"Weiz",113,2020-04-08 07:00:00
"Wels(Stadt)",57,2020-04-08 07:00:00
"Wels-Land",74,2020-04-08 07:00:00
"Wien(Stadt)",1820,2020-04-08 07:00:00
"Wiener Neustadt(Land)",42,2020-04-08 07:00:00
"Wiener Neustadt(Stadt)",35,2020-04-08 07:00:00
"Wolfsberg",36,2020-04-08 07:00:00
"Zell am See",328,2020-04-08 07:00:00
"Zwettl",37,2020-04-08 07:00:00
"Amstetten",235,2020-04-08 08:00:00
"Baden",113,2020-04-08 08:00:00
"Bludenz",232,2020-04-08 08:00:00
"Braunau am Inn",94,2020-04-08 08:00:00
"Bregenz",229,2020-04-08 08:00:00
"Bruck an der Leitha",66,2020-04-08 08:00:00
"Bruck-Mürzzuschlag",45,2020-04-08 08:00:00
"Deutschlandsberg",36,2020-04-08 08:00:00
"Dornbirn",126,2020-04-08 08:00:00
"Eferding",41,2020-04-08 08:00:00
"Eisenstadt(Stadt)",14,2020-04-08 08:00:00
"Eisenstadt-Umgebung",20,2020-04-08 08:00:00
"Feldkirch",197,2020-04-08 08:00:00
"Feldkirchen",10,2020-04-08 08:00:00
"Freistadt",100,2020-04-08 08:00:00
"Gänserndorf",68,2020-04-08 08:00:00
"Gmünd",6,2020-04-08 08:00:00
"Gmunden",60,2020-04-08 08:00:00
"Graz(Stadt)",374,2020-04-08 08:00:00
"Graz-Umgebung",135,2020-04-08 08:00:00
"Grieskirchen",64,2020-04-08 08:00:00
"Gröbming",37,2020-04-08 08:00:00
"Güssing",21,2020-04-08 08:00:00
"Hallein",60,2020-04-08 08:00:00
"Hartberg-Fürstenfeld",268,2020-04-08 08:00:00
"Hermagor",1,2020-04-08 08:00:00
"Hollabrunn",23,2020-04-08 08:00:00
"Horn",28,2020-04-08 08:00:00
"Imst",233,2020-04-08 08:00:00
"Innsbruck-Land",351,2020-04-08 08:00:00
"Innsbruck-Stadt",356,2020-04-08 08:00:00
"Jennersdorf",8,2020-04-08 08:00:00
"Kirchdorf an der Krems",36,2020-04-08 08:00:00
"Kitzbühel",311,2020-04-08 08:00:00
"Klagenfurt Land",37,2020-04-08 08:00:00
"Klagenfurt Stadt",68,2020-04-08 08:00:00
"Korneuburg",138,2020-04-08 08:00:00
"Krems an der Donau(Stadt)",33,2020-04-08 08:00:00
"Krems(Land)",127,2020-04-08 08:00:00
"Kufstein",423,2020-04-08 08:00:00
"Landeck",706,2020-04-08 08:00:00
"Leibnitz",162,2020-04-08 08:00:00
"Leoben",23,2020-04-08 08:00:00
"Lienz",125,2020-04-08 08:00:00
"Liezen",37,2020-04-08 08:00:00
"Lilienfeld",40,2020-04-08 08:00:00
"Linz(Stadt)",281,2020-04-08 08:00:00
"Linz-Land",188,2020-04-08 08:00:00
"Mattersburg",33,2020-04-08 08:00:00
"Melk",130,2020-04-08 08:00:00
"Mistelbach",105,2020-04-08 08:00:00
"Mödling",140,2020-04-08 08:00:00
"Murau",5,2020-04-08 08:00:00
"Murtal",31,2020-04-08 08:00:00
"Neunkirchen",166,2020-04-08 08:00:00
"Neusiedl am See",50,2020-04-08 08:00:00
"Oberpullendorf",16,2020-04-08 08:00:00
"Oberwart",80,2020-04-08 08:00:00
"Perg",242,2020-04-08 08:00:00
"Reutte",49,2020-04-08 08:00:00
"Ried im Innkreis",32,2020-04-08 08:00:00
"Rohrbach",133,2020-04-08 08:00:00
"Salzburg(Stadt)",133,2020-04-08 08:00:00
"Salzburg-Umgebung",172,2020-04-08 08:00:00
"Sankt Johann im Pongau",406,2020-04-08 08:00:00
"Sankt Pölten(Land)",234,2020-04-08 08:00:00
"Sankt Pölten(Stadt)",74,2020-04-08 08:00:00
"Sankt Veit an der Glan",44,2020-04-08 08:00:00
"Schärding",49,2020-04-08 08:00:00
"Scheibbs",98,2020-04-08 08:00:00
"Schwaz",303,2020-04-08 08:00:00
"Spittal an der Drau",34,2020-04-08 08:00:00
"Steyr(Stadt)",42,2020-04-08 08:00:00
"Steyr-Land",143,2020-04-08 08:00:00
"Südoststeiermark",43,2020-04-08 08:00:00
"Tamsweg",21,2020-04-08 08:00:00
"Tulln",127,2020-04-08 08:00:00
"Urfahr-Umgebung",269,2020-04-08 08:00:00
"Villach Land",44,2020-04-08 08:00:00
"Villach Stadt",19,2020-04-08 08:00:00
"Vöcklabruck",103,2020-04-08 08:00:00
"Voitsberg",87,2020-04-08 08:00:00
"Völkermarkt",48,2020-04-08 08:00:00
"Waidhofen an der Thaya",15,2020-04-08 08:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-08 08:00:00
"Weiz",113,2020-04-08 08:00:00
"Wels(Stadt)",57,2020-04-08 08:00:00
"Wels-Land",74,2020-04-08 08:00:00
"Wien(Stadt)",1824,2020-04-08 08:00:00
"Wiener Neustadt(Land)",42,2020-04-08 08:00:00
"Wiener Neustadt(Stadt)",35,2020-04-08 08:00:00
"Wolfsberg",36,2020-04-08 08:00:00
"Zell am See",328,2020-04-08 08:00:00
"Zwettl",38,2020-04-08 08:00:00
"Amstetten",236,2020-04-08 09:00:00
"Baden",113,2020-04-08 09:00:00
"Bludenz",232,2020-04-08 09:00:00
"Braunau am Inn",95,2020-04-08 09:00:00
"Bregenz",231,2020-04-08 09:00:00
"Bruck an der Leitha",66,2020-04-08 09:00:00
"Bruck-Mürzzuschlag",45,2020-04-08 09:00:00
"Deutschlandsberg",36,2020-04-08 09:00:00
"Dornbirn",127,2020-04-08 09:00:00
"Eferding",41,2020-04-08 09:00:00
"Eisenstadt(Stadt)",14,2020-04-08 09:00:00
"Eisenstadt-Umgebung",20,2020-04-08 09:00:00
"Feldkirch",198,2020-04-08 09:00:00
"Feldkirchen",10,2020-04-08 09:00:00
"Freistadt",100,2020-04-08 09:00:00
"Gänserndorf",68,2020-04-08 09:00:00
"Gmünd",6,2020-04-08 09:00:00
"Gmunden",60,2020-04-08 09:00:00
"Graz(Stadt)",372,2020-04-08 09:00:00
"Graz-Umgebung",137,2020-04-08 09:00:00
"Grieskirchen",64,2020-04-08 09:00:00
"Gröbming",37,2020-04-08 09:00:00
"Güssing",21,2020-04-08 09:00:00
"Hallein",60,2020-04-08 09:00:00
"Hartberg-Fürstenfeld",268,2020-04-08 09:00:00
"Hermagor",1,2020-04-08 09:00:00
"Hollabrunn",25,2020-04-08 09:00:00
"Horn",29,2020-04-08 09:00:00
"Imst",233,2020-04-08 09:00:00
"Innsbruck-Land",351,2020-04-08 09:00:00
"Innsbruck-Stadt",356,2020-04-08 09:00:00
"Jennersdorf",8,2020-04-08 09:00:00
"Kirchdorf an der Krems",37,2020-04-08 09:00:00
"Kitzbühel",311,2020-04-08 09:00:00
"Klagenfurt Land",37,2020-04-08 09:00:00
"Klagenfurt Stadt",68,2020-04-08 09:00:00
"Korneuburg",138,2020-04-08 09:00:00
"Krems an der Donau(Stadt)",33,2020-04-08 09:00:00
"Krems(Land)",127,2020-04-08 09:00:00
"Kufstein",423,2020-04-08 09:00:00
"Landeck",708,2020-04-08 09:00:00
"Leibnitz",163,2020-04-08 09:00:00
"Leoben",23,2020-04-08 09:00:00
"Lienz",126,2020-04-08 09:00:00
"Liezen",37,2020-04-08 09:00:00
"Lilienfeld",40,2020-04-08 09:00:00
"Linz(Stadt)",281,2020-04-08 09:00:00
"Linz-Land",188,2020-04-08 09:00:00
"Mattersburg",33,2020-04-08 09:00:00
"Melk",130,2020-04-08 09:00:00
"Mistelbach",105,2020-04-08 09:00:00
"Mödling",140,2020-04-08 09:00:00
"Murau",5,2020-04-08 09:00:00
"Murtal",31,2020-04-08 09:00:00
"Neunkirchen",166,2020-04-08 09:00:00
"Neusiedl am See",50,2020-04-08 09:00:00
"Oberpullendorf",16,2020-04-08 09:00:00
"Oberwart",80,2020-04-08 09:00:00
"Perg",242,2020-04-08 09:00:00
"Reutte",49,2020-04-08 09:00:00
"Ried im Innkreis",38,2020-04-08 09:00:00
"Rohrbach",133,2020-04-08 09:00:00
"Salzburg(Stadt)",133,2020-04-08 09:00:00
"Salzburg-Umgebung",172,2020-04-08 09:00:00
"Sankt Johann im Pongau",406,2020-04-08 09:00:00
"Sankt Pölten(Land)",235,2020-04-08 09:00:00
"Sankt Pölten(Stadt)",75,2020-04-08 09:00:00
"Sankt Veit an der Glan",44,2020-04-08 09:00:00
"Schärding",49,2020-04-08 09:00:00
"Scheibbs",100,2020-04-08 09:00:00
"Schwaz",303,2020-04-08 09:00:00
"Spittal an der Drau",34,2020-04-08 09:00:00
"Steyr(Stadt)",44,2020-04-08 09:00:00
"Steyr-Land",146,2020-04-08 09:00:00
"Südoststeiermark",43,2020-04-08 09:00:00
"Tamsweg",21,2020-04-08 09:00:00
"Tulln",127,2020-04-08 09:00:00
"Urfahr-Umgebung",269,2020-04-08 09:00:00
"Villach Land",44,2020-04-08 09:00:00
"Villach Stadt",19,2020-04-08 09:00:00
"Vöcklabruck",103,2020-04-08 09:00:00
"Voitsberg",89,2020-04-08 09:00:00
"Völkermarkt",48,2020-04-08 09:00:00
"Waidhofen an der Thaya",16,2020-04-08 09:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-08 09:00:00
"Weiz",113,2020-04-08 09:00:00
"Wels(Stadt)",57,2020-04-08 09:00:00
"Wels-Land",74,2020-04-08 09:00:00
"Wien(Stadt)",1826,2020-04-08 09:00:00
"Wiener Neustadt(Land)",42,2020-04-08 09:00:00
"Wiener Neustadt(Stadt)",35,2020-04-08 09:00:00
"Wolfsberg",36,2020-04-08 09:00:00
"Zell am See",328,2020-04-08 09:00:00
"Zwettl",38,2020-04-08 09:00:00
"Amstetten",236,2020-04-08 10:00:00
"Baden",113,2020-04-08 10:00:00
"Bludenz",234,2020-04-08 10:00:00
"Braunau am Inn",95,2020-04-08 10:00:00
"Bregenz",231,2020-04-08 10:00:00
"Bruck an der Leitha",66,2020-04-08 10:00:00
"Bruck-Mürzzuschlag",45,2020-04-08 10:00:00
"Deutschlandsberg",36,2020-04-08 10:00:00
"Dornbirn",128,2020-04-08 10:00:00
"Eferding",41,2020-04-08 10:00:00
"Eisenstadt(Stadt)",14,2020-04-08 10:00:00
"Eisenstadt-Umgebung",20,2020-04-08 10:00:00
"Feldkirch",198,2020-04-08 10:00:00
"Feldkirchen",10,2020-04-08 10:00:00
"Freistadt",100,2020-04-08 10:00:00
"Gänserndorf",68,2020-04-08 10:00:00
"Gmünd",6,2020-04-08 10:00:00
"Gmunden",60,2020-04-08 10:00:00
"Graz(Stadt)",372,2020-04-08 10:00:00
"Graz-Umgebung",137,2020-04-08 10:00:00
"Grieskirchen",64,2020-04-08 10:00:00
"Gröbming",37,2020-04-08 10:00:00
"Güssing",21,2020-04-08 10:00:00
"Hallein",60,2020-04-08 10:00:00
"Hartberg-Fürstenfeld",268,2020-04-08 10:00:00
"Hermagor",1,2020-04-08 10:00:00
"Hollabrunn",25,2020-04-08 10:00:00
"Horn",29,2020-04-08 10:00:00
"Imst",233,2020-04-08 10:00:00
"Innsbruck-Land",351,2020-04-08 10:00:00
"Innsbruck-Stadt",355,2020-04-08 10:00:00
"Jennersdorf",8,2020-04-08 10:00:00
"Kirchdorf an der Krems",37,2020-04-08 10:00:00
"Kitzbühel",312,2020-04-08 10:00:00
"Klagenfurt Land",37,2020-04-08 10:00:00
"Klagenfurt Stadt",68,2020-04-08 10:00:00
"Korneuburg",138,2020-04-08 10:00:00
"Krems an der Donau(Stadt)",33,2020-04-08 10:00:00
"Krems(Land)",127,2020-04-08 10:00:00
"Kufstein",432,2020-04-08 10:00:00
"Landeck",708,2020-04-08 10:00:00
"Leibnitz",163,2020-04-08 10:00:00
"Leoben",23,2020-04-08 10:00:00
"Lienz",127,2020-04-08 10:00:00
"Liezen",37,2020-04-08 10:00:00
"Lilienfeld",40,2020-04-08 10:00:00
"Linz(Stadt)",281,2020-04-08 10:00:00
"Linz-Land",188,2020-04-08 10:00:00
"Mattersburg",33,2020-04-08 10:00:00
"Melk",130,2020-04-08 10:00:00
"Mistelbach",105,2020-04-08 10:00:00
"Mödling",140,2020-04-08 10:00:00
"Murau",5,2020-04-08 10:00:00
"Murtal",31,2020-04-08 10:00:00
"Neunkirchen",166,2020-04-08 10:00:00
"Neusiedl am See",50,2020-04-08 10:00:00
"Oberpullendorf",16,2020-04-08 10:00:00
"Oberwart",80,2020-04-08 10:00:00
"Perg",242,2020-04-08 10:00:00
"Reutte",49,2020-04-08 10:00:00
"Ried im Innkreis",38,2020-04-08 10:00:00
"Rohrbach",133,2020-04-08 10:00:00
"Salzburg(Stadt)",133,2020-04-08 10:00:00
"Salzburg-Umgebung",172,2020-04-08 10:00:00
"Sankt Johann im Pongau",406,2020-04-08 10:00:00
"Sankt Pölten(Land)",235,2020-04-08 10:00:00
"Sankt Pölten(Stadt)",75,2020-04-08 10:00:00
"Sankt Veit an der Glan",44,2020-04-08 10:00:00
"Schärding",49,2020-04-08 10:00:00
"Scheibbs",100,2020-04-08 10:00:00
"Schwaz",303,2020-04-08 10:00:00
"Spittal an der Drau",34,2020-04-08 10:00:00
"Steyr(Stadt)",44,2020-04-08 10:00:00
"Steyr-Land",146,2020-04-08 10:00:00
"Südoststeiermark",43,2020-04-08 10:00:00
"Tamsweg",21,2020-04-08 10:00:00
"Tulln",126,2020-04-08 10:00:00
"Urfahr-Umgebung",269,2020-04-08 10:00:00
"Villach Land",44,2020-04-08 10:00:00
"Villach Stadt",19,2020-04-08 10:00:00
"Vöcklabruck",103,2020-04-08 10:00:00
"Voitsberg",89,2020-04-08 10:00:00
"Völkermarkt",48,2020-04-08 10:00:00
"Waidhofen an der Thaya",16,2020-04-08 10:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-08 10:00:00
"Weiz",113,2020-04-08 10:00:00
"Wels(Stadt)",57,2020-04-08 10:00:00
"Wels-Land",74,2020-04-08 10:00:00
"Wien(Stadt)",1827,2020-04-08 10:00:00
"Wiener Neustadt(Land)",42,2020-04-08 10:00:00
"Wiener Neustadt(Stadt)",35,2020-04-08 10:00:00
"Wolfsberg",36,2020-04-08 10:00:00
"Zell am See",327,2020-04-08 10:00:00
"Zwettl",38,2020-04-08 10:00:00
"Amstetten",236,2020-04-08 12:00:00
"Baden",113,2020-04-08 12:00:00
"Bludenz",234,2020-04-08 12:00:00
"Braunau am Inn",95,2020-04-08 12:00:00
"Bregenz",231,2020-04-08 12:00:00
"Bruck an der Leitha",66,2020-04-08 12:00:00
"Bruck-Mürzzuschlag",45,2020-04-08 12:00:00
"Deutschlandsberg",36,2020-04-08 12:00:00
"Dornbirn",129,2020-04-08 12:00:00
"Eferding",41,2020-04-08 12:00:00
"Eisenstadt(Stadt)",14,2020-04-08 12:00:00
"Eisenstadt-Umgebung",20,2020-04-08 12:00:00
"Feldkirch",198,2020-04-08 12:00:00
"Feldkirchen",10,2020-04-08 12:00:00
"Freistadt",100,2020-04-08 12:00:00
"Gänserndorf",68,2020-04-08 12:00:00
"Gmünd",6,2020-04-08 12:00:00
"Gmunden",60,2020-04-08 12:00:00
"Graz(Stadt)",372,2020-04-08 12:00:00
"Graz-Umgebung",138,2020-04-08 12:00:00
"Grieskirchen",64,2020-04-08 12:00:00
"Gröbming",37,2020-04-08 12:00:00
"Güssing",21,2020-04-08 12:00:00
"Hallein",60,2020-04-08 12:00:00
"Hartberg-Fürstenfeld",268,2020-04-08 12:00:00
"Hermagor",1,2020-04-08 12:00:00
"Hollabrunn",25,2020-04-08 12:00:00
"Horn",29,2020-04-08 12:00:00
"Imst",233,2020-04-08 12:00:00
"Innsbruck-Land",351,2020-04-08 12:00:00
"Innsbruck-Stadt",357,2020-04-08 12:00:00
"Jennersdorf",8,2020-04-08 12:00:00
"Kirchdorf an der Krems",37,2020-04-08 12:00:00
"Kitzbühel",312,2020-04-08 12:00:00
"Klagenfurt Land",37,2020-04-08 12:00:00
"Klagenfurt Stadt",68,2020-04-08 12:00:00
"Korneuburg",138,2020-04-08 12:00:00
"Krems an der Donau(Stadt)",33,2020-04-08 12:00:00
"Krems(Land)",127,2020-04-08 12:00:00
"Kufstein",438,2020-04-08 12:00:00
"Landeck",708,2020-04-08 12:00:00
"Leibnitz",163,2020-04-08 12:00:00
"Leoben",23,2020-04-08 12:00:00
"Lienz",127,2020-04-08 12:00:00
"Liezen",37,2020-04-08 12:00:00
"Lilienfeld",40,2020-04-08 12:00:00
"Linz(Stadt)",281,2020-04-08 12:00:00
"Linz-Land",188,2020-04-08 12:00:00
"Mattersburg",33,2020-04-08 12:00:00
"Melk",130,2020-04-08 12:00:00
"Mistelbach",104,2020-04-08 12:00:00
"Mödling",140,2020-04-08 12:00:00
"Murau",5,2020-04-08 12:00:00
"Murtal",31,2020-04-08 12:00:00
"Neunkirchen",167,2020-04-08 12:00:00
"Neusiedl am See",50,2020-04-08 12:00:00
"Oberpullendorf",16,2020-04-08 12:00:00
"Oberwart",80,2020-04-08 12:00:00
"Perg",242,2020-04-08 12:00:00
"Reutte",49,2020-04-08 12:00:00
"Ried im Innkreis",38,2020-04-08 12:00:00
"Rohrbach",133,2020-04-08 12:00:00
"Salzburg(Stadt)",133,2020-04-08 12:00:00
"Salzburg-Umgebung",172,2020-04-08 12:00:00
"Sankt Johann im Pongau",406,2020-04-08 12:00:00
"Sankt Pölten(Land)",235,2020-04-08 12:00:00
"Sankt Pölten(Stadt)",75,2020-04-08 12:00:00
"Sankt Veit an der Glan",44,2020-04-08 12:00:00
"Schärding",49,2020-04-08 12:00:00
"Scheibbs",100,2020-04-08 12:00:00
"Schwaz",305,2020-04-08 12:00:00
"Spittal an der Drau",34,2020-04-08 12:00:00
"Steyr(Stadt)",44,2020-04-08 12:00:00
"Steyr-Land",148,2020-04-08 12:00:00
"Südoststeiermark",45,2020-04-08 12:00:00
"Tamsweg",21,2020-04-08 12:00:00
"Tulln",126,2020-04-08 12:00:00
"Urfahr-Umgebung",269,2020-04-08 12:00:00
"Villach Land",44,2020-04-08 12:00:00
"Villach Stadt",19,2020-04-08 12:00:00
"Vöcklabruck",103,2020-04-08 12:00:00
"Voitsberg",89,2020-04-08 12:00:00
"Völkermarkt",48,2020-04-08 12:00:00
"Waidhofen an der Thaya",16,2020-04-08 12:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-08 12:00:00
"Weiz",113,2020-04-08 12:00:00
"Wels(Stadt)",57,2020-04-08 12:00:00
"Wels-Land",74,2020-04-08 12:00:00
"Wien(Stadt)",1827,2020-04-08 12:00:00
"Wiener Neustadt(Land)",43,2020-04-08 12:00:00
"Wiener Neustadt(Stadt)",35,2020-04-08 12:00:00
"Wolfsberg",36,2020-04-08 12:00:00
"Zell am See",327,2020-04-08 12:00:00
"Zwettl",38,2020-04-08 12:00:00
